Reading_Id,Distance,Time
01e7f3cf-7804-48be-907b-1c8b0d13ff02,8.84978,"2023-07-27 23:00:02"
061443b5-d017-473a-8c04-d4b514a75944,6.55857,"2023-07-19 21:00:02"
0f3999f3-c60d-4c47-94c0-4349f88d5573,4.18963,"2023-07-19 19:46:11"
139d818f-79e1-474f-85cf-ee3638df6f46,24.9578,"2023-07-21 23:00:02"
148b150e-2894-44f9-bf1c-995dbe21a1bf,6.9268,"2023-07-20 20:30:02"
1ab6f2e4-5869-4f8b-aa0e-540e8e0b32c4,6.43583,"2023-07-19 22:00:02"
1d45f2f0-2af9-41bf-958e-80b6cc4d3093,1199.75,"2023-07-26 23:33:30"
2030db93-e93c-4a5b-977f-d55e61965c29,36.3401,"2023-07-24 18:05:29"
216ed3e1-9d04-4fb5-a9f4-f437f28d0f9f,11.8324,"2023-07-20 23:00:02"
2a9816df-e06d-472a-bfce-b9b3563abe36,24.97,"2023-07-21 21:25:37"
2b83e38c-e18e-422e-b9bb-bcd8fdc58b66,16.378,"2023-07-26 23:34:05"
2e701233-5136-4332-a21e-f3b8ecebe32b,7.58962,"2023-07-27 21:49:51"
30edbc45-1b05-46a1-b406-4caa0916aaaa,6.93908,"2023-07-19 20:00:01"
3890f4b6-74eb-4abd-8c6b-33a3ff5da597,11.8243,"2023-07-20 22:30:02"
40df86cd-6320-4de1-8326-6b9fc3147046,5.51526,"2023-07-15 21:17:52"
48be14f6-8d69-4b38-a9d7-7fb898a37fee,21.2018,"2023-07-26 02:00:02"
4ce5a556-cfcc-46db-acaf-090d1db81b90,35.2355,"2023-07-24 19:30:02"
557c3f46-a250-4758-bec8-fafecccd98c5,4.31647,"2023-07-20 21:30:02"
5872d1b7-cb50-4ff9-8a7a-75dd95edcb11,9,"2023-07-15 19:00:00"
5e53c41b-d4b5-4bc4-a958-f1876a5920c7,6.55039,"2023-07-19 20:30:02"
5f312a0e-6693-4270-b15a-31b822609321,6.42765,"2023-07-19 22:30:02"
67be0ebe-1982-479b-8e6b-03d0da95ef08,7.95785,"2023-07-27 23:30:02"
6f915142-911b-4fb1-b1b7-914288c7ae75,6.69768,"2023-07-20 22:00:02"
779dbe83-9e4a-463b-8b7a-e0be331e4807,7.60598,"2023-07-27 22:00:02"
7818aea1-f37a-42d3-84c1-33af651be6f4,4.18963,"2023-07-19 19:00:11"
7bc5e102-2c7b-493e-b355-7cc34727742c,21.2346,"2023-07-26 01:30:02"
7f5554c9-cb5e-4cdc-9316-60eee67a561e,34.7118,"2023-07-24 20:30:02"
82c9b104-5385-4482-98dd-96733394279d,14.2791,"2023-07-28 02:30:02"
8b44a9d6-3301-4e28-84ac-a293ee92d6f9,35.2355,"2023-07-24 19:00:02"
8e3ff1bf-dbc4-43f1-b898-f302f8612c5e,5,"2023-07-09 17:00:00"
96120ca1-5abd-4dec-8356-dcb905bb7af8,4.16917,"2023-07-19 19:30:02"
9f7cd7a3-f7fe-420f-bbf2-a0b61a3dd57e,25.0028,"2023-07-21 21:30:02"
a4962ae0-ca15-4e76-b3e9-c5b8887e9614,24.925,"2023-07-22 00:00:02"
a568b146-6d39-46fb-acbe-b45c7c7f833b,20.4326,"2023-07-24 21:30:02"
